name,mail,address,phone,role,ssn
Per Adams,emkl21@student.bth.se,Ronneby Road 2 12346,0709222222,TM,1111119999
Namn Namnsson,emil_ffs1994@hotmail.com,Karlskrona Rooad 22 12348,0709222222,TM,2222229999
John Johnson,john@example.com,123 Main Street,555-123-4567,TM,1111222233
Alice Adams,emkl21@student.bth.se,456 Elm Avenue,555-234-5678,TM,2222333344
Robert Roberts,robert@example.com,789 Oak Lane,555-345-6789,TM,3333444455
Sarah Smith,sarah@example.com,101 Pine Road,555-456-7890,TM,4444555566
Michael Miller,michael@example.com,246 Maple Drive,555-567-8901,TM,5555666677
Emily Evans,emily@example.com,864 Cedar Street,555-678-9012,TM,6666777788
David Davis,david@example.com,975 Willow Avenue,555-789-0123,TM,7777888899
Jessica James,jessica@example.com,987 Birch Lane,555-890-1234,TM,8888999000
Olivia Olson,olivia@example.com,135 Spruce Road,555-901-2345,TM,9999000011
Daniel Daniels,daniel@example.com,567 Fir Street,555-012-3456,TM,0000111122
